Participant,Programme_Name_Participant_Is_Part_Of,Programme_ID
"Death, Taxes, & Advertisements",Cringe or Cool?,109
Weapons of Mass Seduction,Cringe or Cool?,109
A Cringe a Day Keeps Platform Capitalism Away,Cringe or Cool?,109
FAKE IT TILL YOU MAKE IT,Cringe or Cool?,109
The Meme Bootcamp,Cringe or Cool?,109
Minecraft Story Mode is Cool,Cringe or Cool?,109
Alkaloid Dream,Cringe or Cool?,109
Midocracy Sinkhole Vortex,Cringe or Cool?,109
DOUBLE DIP,Cringe or Cool?,109
Eat Dust,Cringe or Cool?,109
"Death, Taxes, & Advertisements",Cringe or Cool?,109
Weapons of Mass Seduction,Cringe or Cool?,109
A Cringe a Day Keeps Platform Capitalism Away,Cringe or Cool?,109
FAKE IT TILL YOU MAKE IT,Cringe or Cool?,109
The Meme Bootcamp,Cringe or Cool?,109
Minecraft Story Mode is Cool,Cringe or Cool?,109
Alkaloid Dream,Cringe or Cool?,109
Midocracy Sinkhole Vortex,Cringe or Cool?,109
DOUBLE DIP,Cringe or Cool?,109
Eat Dust,Cringe or Cool?,109
Comfort Me Please,In Season,247
Divide Unite,In Season,247
BYBORRE x The Social Hub present The Elephant in the Room,In Season,247
KD26–A,In Season,247
The Green Clean / De groene schoonmaak,In Season,247
Comfort Me Please,In Season,247
Divide Unite,In Season,247
BYBORRE x The Social Hub present The Elephant in the Room,In Season,247
KD26–A,In Season,247
The Green Clean / De groene schoonmaak,In Season,247
A place to look forward to,Growable Graphics,224
Spiekkleding,Growable Graphics,224
Possession to Nature,Growable Graphics,224
Spin Off / Sustainability of Traditions,Growable Graphics,224
Coping with Mechanisms,Growable Graphics,224
A place to look forward to,Growable Graphics,224
Spiekkleding,Growable Graphics,224
Possession to Nature,Growable Graphics,224
Spin Off / Sustainability of Traditions,Growable Graphics,224
Coping with Mechanisms,Growable Graphics,224
Garbage bin house,The space between us,453
1m2 Collective,The space between us,453
1m2 Collective at Sectie-C,The space between us,453
BA Jewellery + MA Design & Future Making,The space between us,453
The Sidequest Rave,The space between us,453
Garbage bin house,The space between us,453
1m2 Collective,The space between us,453
1m2 Collective at Sectie-C,The space between us,453
BA Jewellery + MA Design & Future Making,The space between us,453
The Sidequest Rave,The space between us,453
U don’t Know,Crafted Liberation,105
Research to Reconnect,Crafted Liberation,105
German Design Graduates,Crafted Liberation,105
Change!,Crafted Liberation,105
The Language of Sustainability,Crafted Liberation,105
U don’t Know,Crafted Liberation,105
Research to Reconnect,Crafted Liberation,105
German Design Graduates,Crafted Liberation,105
Change!,Crafted Liberation,105
The Language of Sustainability,Crafted Liberation,105
Design Beyond Vision,Kiwi - Ending painful sex,272
Design approach for social transitions,Kiwi - Ending painful sex,272
The smallest desk for the biggest challenges,Kiwi - Ending painful sex,272
In search for relatable futures,Kiwi - Ending painful sex,272
Weave,Kiwi - Ending painful sex,272
Design Beyond Vision,Kiwi - Ending painful sex,272
Design approach for social transitions,Kiwi - Ending painful sex,272
The smallest desk for the biggest challenges,Kiwi - Ending painful sex,272
In search for relatable futures,Kiwi - Ending painful sex,272
Weave,Kiwi - Ending painful sex,272
WasteBase | A new purpose for residual streams,Graduation Show 2023,220
Mahjouba Motor,Graduation Show 2023,220
The Language of Sustainability,Graduation Show 2023,220
German Design Graduates,Graduation Show 2023,220
BA Jewellery + MA Design & Future Making,Graduation Show 2023,220
WasteBase | A new purpose for residual streams,Graduation Show 2023,220
Mahjouba Motor,Graduation Show 2023,220
The Language of Sustainability,Graduation Show 2023,220
German Design Graduates,Graduation Show 2023,220
BA Jewellery + MA Design & Future Making,Graduation Show 2023,220
Cocoon,Art Tech Fun AI Robots eGirls Manifestations,44
the Value of a Material World,Art Tech Fun AI Robots eGirls Manifestations,44
Felled Tree - Labyrinth of memories,Art Tech Fun AI Robots eGirls Manifestations,44
Design for a Heavy Future,Art Tech Fun AI Robots eGirls Manifestations,44
Dutch Design Wijk,Art Tech Fun AI Robots eGirls Manifestations,44
LIMINAL,Art Tech Fun AI Robots eGirls Manifestations,44
De Frontlinie,Art Tech Fun AI Robots eGirls Manifestations,44
EGO DEATH,Art Tech Fun AI Robots eGirls Manifestations,44
MyTinderProject,Art Tech Fun AI Robots eGirls Manifestations,44
Shadow Dwellers,Art Tech Fun AI Robots eGirls Manifestations,44
Sounding Ocean - Deep Sea Mining,Art Tech Fun AI Robots eGirls Manifestations,44
Water Phenomena,Art Tech Fun AI Robots eGirls Manifestations,44
Changeable Movement,Art Tech Fun AI Robots eGirls Manifestations,44
ALIVE - Fashioncreations of prepared and living plants,Art Tech Fun AI Robots eGirls Manifestations,44
VitaLISJE,Art Tech Fun AI Robots eGirls Manifestations,44
Time flies but I fly higher,Art Tech Fun AI Robots eGirls Manifestations,44
On An Obsolescence Rescue,Art Tech Fun AI Robots eGirls Manifestations,44
Julian Assange - Actors of a Persecution,Art Tech Fun AI Robots eGirls Manifestations,44
Kannonenvoer22 / FODDER22,Art Tech Fun AI Robots eGirls Manifestations,44
D@ N@T STAND@ MY GRAVE AND WEEP,Art Tech Fun AI Robots eGirls Manifestations,44
We Never Change,Art Tech Fun AI Robots eGirls Manifestations,44
Verwonderwezens,Art Tech Fun AI Robots eGirls Manifestations,44
Alternative Openings,Art Tech Fun AI Robots eGirls Manifestations,44
The Invisibility of Things,Art Tech Fun AI Robots eGirls Manifestations,44
Inter Scope,Art Tech Fun AI Robots eGirls Manifestations,44
Dickpic Photobooth,Art Tech Fun AI Robots eGirls Manifestations,44
Rediscover Your Rythm,Art Tech Fun AI Robots eGirls Manifestations,44
Pol/der (vriens),Art Tech Fun AI Robots eGirls Manifestations,44
aBiogenesis,Art Tech Fun AI Robots eGirls Manifestations,44
You are the U in U-niverse,Art Tech Fun AI Robots eGirls Manifestations,44
A New World - tarot performance,Art Tech Fun AI Robots eGirls Manifestations,44
Entanglement in Machine Learning,Art Tech Fun AI Robots eGirls Manifestations,44
What A Beautiful Day to Cancel Somebody,Art Tech Fun AI Robots eGirls Manifestations,44
Cocoon,Art Tech Fun AI Robots eGirls Manifestations,44
the Value of a Material World,Art Tech Fun AI Robots eGirls Manifestations,44
Felled Tree - Labyrinth of memories,Art Tech Fun AI Robots eGirls Manifestations,44
Design for a Heavy Future,Art Tech Fun AI Robots eGirls Manifestations,44
Dutch Design Wijk,Art Tech Fun AI Robots eGirls Manifestations,44
LIMINAL,Art Tech Fun AI Robots eGirls Manifestations,44
De Frontlinie,Art Tech Fun AI Robots eGirls Manifestations,44
EGO DEATH,Art Tech Fun AI Robots eGirls Manifestations,44
MyTinderProject,Art Tech Fun AI Robots eGirls Manifestations,44
Shadow Dwellers,Art Tech Fun AI Robots eGirls Manifestations,44
Sounding Ocean - Deep Sea Mining,Art Tech Fun AI Robots eGirls Manifestations,44
Water Phenomena,Art Tech Fun AI Robots eGirls Manifestations,44
Changeable Movement,Art Tech Fun AI Robots eGirls Manifestations,44
ALIVE - Fashioncreations of prepared and living plants,Art Tech Fun AI Robots eGirls Manifestations,44
VitaLISJE,Art Tech Fun AI Robots eGirls Manifestations,44
Time flies but I fly higher,Art Tech Fun AI Robots eGirls Manifestations,44
On An Obsolescence Rescue,Art Tech Fun AI Robots eGirls Manifestations,44
Julian Assange - Actors of a Persecution,Art Tech Fun AI Robots eGirls Manifestations,44
Kannonenvoer22 / FODDER22,Art Tech Fun AI Robots eGirls Manifestations,44
D@ N@T STAND@ MY GRAVE AND WEEP,Art Tech Fun AI Robots eGirls Manifestations,44
We Never Change,Art Tech Fun AI Robots eGirls Manifestations,44
Verwonderwezens,Art Tech Fun AI Robots eGirls Manifestations,44
Alternative Openings,Art Tech Fun AI Robots eGirls Manifestations,44
The Invisibility of Things,Art Tech Fun AI Robots eGirls Manifestations,44
Inter Scope,Art Tech Fun AI Robots eGirls Manifestations,44
Dickpic Photobooth,Art Tech Fun AI Robots eGirls Manifestations,44
Rediscover Your Rythm,Art Tech Fun AI Robots eGirls Manifestations,44
Pol/der (vriens),Art Tech Fun AI Robots eGirls Manifestations,44
aBiogenesis,Art Tech Fun AI Robots eGirls Manifestations,44
You are the U in U-niverse,Art Tech Fun AI Robots eGirls Manifestations,44
A New World - tarot performance,Art Tech Fun AI Robots eGirls Manifestations,44
Entanglement in Machine Learning,Art Tech Fun AI Robots eGirls Manifestations,44
What A Beautiful Day to Cancel Somebody,Art Tech Fun AI Robots eGirls Manifestations,44
Lord of the Flies,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
colour - matter,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
My Stone Collection,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
act of a line,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Sacred Markings,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Ode al Mar,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Conjunction Armchair,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Laserglazed Lights,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Beaver Dreams,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
New Familiar Vessels,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
GLEAM BABY BLUE,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
GLITCH,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
water carriers,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Douwe Halbertsma; NEW HORIZON and MIRAGE,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Helios,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Amended 2,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Harmonious Aesthetics,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
HIGHLIGHT OLEGI,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Lord of the Flies,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
colour - matter,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
My Stone Collection,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
act of a line,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Sacred Markings,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Ode al Mar,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Conjunction Armchair,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Laserglazed Lights,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Beaver Dreams,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
New Familiar Vessels,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
GLEAM BABY BLUE,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
GLITCH,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
water carriers,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Douwe Halbertsma; NEW HORIZON and MIRAGE,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Helios,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Amended 2,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
Harmonious Aesthetics,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
HIGHLIGHT OLEGI,MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,306
1m2 Collective at Sectie-C,GameChangers,209
Organic Social Capital,GameChangers,209
Liminal Spaces,GameChangers,209
Threads of Data,GameChangers,209
Space Invaders,GameChangers,209
1m2 Collective at Sectie-C,GameChangers,209
Organic Social Capital,GameChangers,209
Liminal Spaces,GameChangers,209
Threads of Data,GameChangers,209
Space Invaders,GameChangers,209
Guilty Flavours,Tony - Refrigeration with evaporative cooling,468
Secrid Talent Podium,Tony - Refrigeration with evaporative cooling,468
JOB’S PLAYGROUND,Tony - Refrigeration with evaporative cooling,468
The Product Chronicles,Tony - Refrigeration with evaporative cooling,468
Functionele Schoonheid Vormgegeven door Verbeelding,Tony - Refrigeration with evaporative cooling,468
Guilty Flavours,Tony - Refrigeration with evaporative cooling,468
Secrid Talent Podium,Tony - Refrigeration with evaporative cooling,468
JOB’S PLAYGROUND,Tony - Refrigeration with evaporative cooling,468
The Product Chronicles,Tony - Refrigeration with evaporative cooling,468
Functionele Schoonheid Vormgegeven door Verbeelding,Tony - Refrigeration with evaporative cooling,468
Biophilic Design,Biophilic Design,63
Biophilic Design,Biophilic Design,64
MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,Eilamp / Egglamp,163
Artificial Nature,Eilamp / Egglamp,163
"PIANI - circular, light, convertible",Eilamp / Egglamp,163
Camping,Eilamp / Egglamp,163
Ribbed,Eilamp / Egglamp,163
