Places_Name,Location Photo,Google Maps link,Places_Latitude,Places_Longitude,Places_Address,Places_City,Places_PostalCode,Opening times,Services,Dogs allowed,Fully Wheelchair Accessible,Partially Wheelchair Accessible,Toilets available,Wheelchair Friendly Toilet,Wifi available
Bart Hess I NRE,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/bodybuilding-ddw_1694017746.jpg,"https://www.google.com/maps/search/?api=1&query=51.438744,5.489184",51.438744,5.489184,Gashouder 43A,Eindhoven,5611CR,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible
Dogs allowed",True,False,True,False,False,False
Fifth NRE,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/def_1695656007.jpg,"https://www.google.com/maps/search/?api=1&query=51.438267,5.488269",51.438267,5.488269,Gasfabriek 5,Eindhoven,5613CP,"Opening times

Sat 21 Oct

11:00 - 00:00

Sun 22 Oct

11:00 - 23:00

Mon 23 Oct

11:00 - 23:00

Tue 24 Oct

11:00 - 23:00

Wed 25 Oct

11:00 - 23:00

Thu 26 Oct

11:00 - 23:00

Fri 27 Oct

11:00 - 00:00

Sat 28 Oct

11:00 - 00:00

Sun 29 Oct

11:00 - 23:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available",False,True,False,True,True,True
Gasfabriek 20 | NRE,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/thumbnail_1694076113.jfif,"https://www.google.com/maps/search/?api=1&query=51.437799,5.488269",51.437799,5.488269,Gasfabriek 20,Eindhoven,5613CP,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Not Wheelchair Accessible",False,False,False,False,False,False
Kade Clubhuis,https://lh5.googleusercontent.com/p/AF1QipOkAH8o9_tidHxh1UdnYQMqpXG3uksS00wuczK7=w408-h272-k-no,"https://www.google.com/maps/search/?api=1&query=51.434928,5.506199",51.434928,5.506199,Kanaaldijknoord 57 C,Eindhoven,5642JA,"Opening times

Sat 21 Oct

Closed

Sun 22 Oct

Closed

Mon 23 Oct

Closed

Tue 24 Oct

Closed

Wed 25 Oct

16:00 - 23:00

Thu 26 Oct

Closed

Fri 27 Oct

Closed

Sat 28 Oct

Closed

Sun 29 Oct

Closed","Services
Partially Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,False,True,True,True,True
Kiki and Joost,https://lh5.googleusercontent.com/p/AF1QipOm4mUMHBS6w0OPYnTnDcOwQAruKM9ZP8L-DeSP=w408-h544-k-no,"https://www.google.com/maps/search/?api=1&query=51.435771,5.496188",51.435771,5.496188,Gabriël Metsulaan 1 - entrance Kanaaldijk Zuid,Eindhoven,5613LC,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 17:00","Services
Partially Wheelchair Accessible
Wifi available",False,False,True,False,False,True
Koelhuis Eindhoven,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/kh040-photo-nick-bookelaar-interior-copyright-004_1695390736.jpg,"https://www.google.com/maps/search/?api=1&query=51.433427,5.501534",51.433427,5.501534,Dirk Boutslaan 1,Eindhoven,5613LH,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Not Wheelchair Accessible
Toilets available",False,False,False,True,False,False
Make Eindhoven,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/make-eindhoven_1693836924.jpg,"https://www.google.com/maps/search/?api=1&query=51.438167,5.487892",51.438167,5.487892,Gasfabriek 12,Eindhoven,5613CP,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wifi available
Toilets available",False,True,False,True,False,True
NUL ZES | NRE,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/ddw-nulzes_1695630144.jpeg,"https://www.google.com/maps/search/?api=1&query=51.43845,5.488177",51.43845,5.488177,Gasfabriek 3A,Eindhoven,5613CP,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Not Wheelchair Accessible
Toilets available",False,False,False,True,False,False
NUL ZES / gebouw 8,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/16112021-dura-vermeer-nulzesnickbookelaar-09990_1695630661.jpeg,"https://www.google.com/maps/search/?api=1&query=51.438677,5.488487",51.438677,5.488487,GASFABRIEK 3C,Eindhoven,5613CP,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wifi available
Toilets available
Dogs allowed",True,True,False,True,False,True
Onomatopee,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8iww3w3oIDr5XJ2w0sNsRQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.600834&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.434848,5.494487",51.434848,5.494487,Lucas Gasselstraat 2a,Eindhoven,5613LB,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Toilets available
Dogs allowed",True,True,False,True,False,False
