Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
1,"""Imagine: what are you?""",,"Station area, Design Perron, Fuutlaan 12",Free,"Integrating the human form with circular reformable construction, this project showcases dance costume design as storytelling. The costumes offer diverse silhouettes, expanding dancers' shapes to explore. This transcends human limits, aiming to spark imaginative audience responses, enhancing creativ",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/screenshot-2023-08-30-at-223721_1693427852_1800x1010.png,https://ddw.nl/en/programme/10771/quotimagine-what-are-youquot,,
2,"""Rain"" Watchers","A space for people to experience the rain, and more than the rain, from watching to exploring nature as a healing environment with all senses.","Other area, GGzE Landgoed De Grote Beek, Grote Beekstraat 18b",Free,"Have you seen the rain? Have you watched the rain?

In the mental health institution GGzE terrain De Grote Beek, you can experience the rain in a new way, at the space ""Rain"" Watchers"".",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/04_1693497392_1800x1010.jpg,https://ddw.nl/en/programme/10133/quotrainquot-watchers,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Social Design
3,((Capsule)),The ((Capsule)) Hong Kong Design Showcase,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Top the world's most vertical and expensive city with the highest life expectancy, the ((Capsule)) showcases actions of Hong Kong, China, in circular design that reflects its unique cityscape, cultural and socio-economic developments such as double aging, urge for inclusivity, and more.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1_1693475484_1800x1010.jpg,https://ddw.nl/en/programme/9860/capsule,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
4,(A)I Designed a Chair,“Embodying the symbiosis of human and AI”,"Station area, Design Perron, Fuutlaan 12",Free,"How can AI be used in a creative process? In an era of rapid technological evolution, I explored the opportunities of Generative AI in design. While some view AI as a potential threat, I embraced AI as a creative partner to create unique designs, which marks a new chapter in our approach to design.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ai-designed-a-chair-picture-01_1693572350_1800x1010.jpg,https://ddw.nl/en/programme/10539/ai-designed-a-chair,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
5,(Not) Jammed,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"(Not) Jammed is an interactive installation by DuctTape Collective, part of Manifestations 23'. The work tries to break free from the notion of carefulness around technology and give an opportunity to the viewers to explore what can be done with a printer outside the constraints of its intended use.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/6_1692184164_1800x1010.jpg,https://ddw.nl/en/programme/10212/not-jammed,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
6,(r)evolutionary pleats,Fenna van der Klei presents an explosion of color and texture in her pioneering design made with a newly developed craft: structural textile pleating.,"Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"Inspired by traditional, sartorial pleating techniques, Fenna van der Klei has mastered a new craft: structural textile pleating. This year she presents the result. A sculptural room divider made without adhesive or hard materials is charged with vibrant color and relief that seem to dance in space.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/opening-image-whitebar_1694083290_1800x1010.jpg,https://ddw.nl/en/programme/10042/revolutionary-pleats,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
7,"..,STAAT",,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-staat-the-new-stijl-dda23-communication_1689584325_1800x1010.jpg,https://ddw.nl/en/programme/10481/staat,,
8,100% WOOL,Innovative garments and accessories made in 100% wool,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"MONO is a fashion and textile research project based in Paris and Eindhoven. In order to facilitate the recyclability of the garments, the collective proposes mono-material fashion products made in 100% wool.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/22mono-lineup22-collection-leila-2023_1694711884_1800x1010.jpg,https://ddw.nl/en/programme/10598/100-wool,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Design Research
9,1000 Hours,1000 Hours explores the relationship between producers and consumers through a material and historical investigation of the lightbulb,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"As a counteraction to the legacy of lightbulbs in planned obsolescence, '1000 Hours' preserves daylight in ceramic ampoules, aiming to bring the power back into the hands of consumers.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1000hours-amalia-magril-01_1693480364_1800x1010.jpg,https://ddw.nl/en/programme/10341/1000-hours,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
10,1m2 Collective,"We are 1m2 Collective;
An interdisciplinary design platform that strives for a more diverse and inclusive design industry.","Centre area, Van Abbemuseum, Stratumsedijk 2",Free with DDW Ticket,"In just 1m2 of ground space we will exhibit as many designers as possible. To give opportunity to starting, self taught and student designers for exposure, as well as making a statement about the inclusivity of design festivals.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1m2atddwfrontviewwithpeatlerz4492-94-photobyrozaschous_1694629587_1800x1010.jpg,https://ddw.nl/en/programme/9912/1m2-collective,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
